MOVIE_NAME,DURATION,CATEGORY
Avatar,178,Action
Pirates of the Caribbean: At World's End,169,Action
Spectre,148,Action
The Dark Knight Rises,164,Action
John Carter,132,Action
Spider-Man 3,156,Action
Tangled,100,Adventure
Avengers: Age of Ultron,141,Action
Harry Potter and the Half-Blood Prince,153,Adventure
Batman v Superman: Dawn of Justice,183,Action
Superman Returns,169,Action
Quantum of Solace,106,Adventure
Pirates of the Caribbean: Dead Man's Chest,151,Fantasy
The Lone Ranger,150,Western
Man of Steel,143,Fantasy
The Chronicles of Narnia: Prince Caspian,150,Fantasy
The Avengers,173,Action
Pirates of the Caribbean: On Stranger Tides,136,Adventure
Men in Black 3,106,Comedy
